state,population,under 5yrs,under 18yrs,65 yrs and over,female,male,labour force participation,commute time
new york city,8336817,6.5,20.9,14.1,52.3,47.7,63.5,35.8
des moines,214237,6.9,24.5,11.7,50.8,49.1,70.3,18.3
